date,time,CD,CM,CU,PREC,RH2m,SNOW,ST,SWD,SWDtop,TT2M,WS100m,WS10m,consumption,generation
5/13/19,13:15,0,0,0.06,0,24.53,0,18.99,836.73,1078.36,15.34,6.18,3.4,0.177087995,0.563478376
5/13/19,13:30,0,0,0.05,0,24.68,0,19.15,820.38,1060.38,15.55,6.29,3.44,0.170060132,0.564028348
5/13/19,13:45,0,0,0.03,0,24.46,0,19.26,803.09,1040.89,15.74,6.57,3.55,0.172039735,0.557073954
5/13/19,14:00,0,0,0,0,24.72,0,19.31,784.99,1020.07,15.85,6.71,3.59,0.157002534,0.537397733
5/13/19,14:15,0,0,0,0,25.82,0,19.3,750.64,982.84,15.91,6.66,3.56,0.200993337,0.527122503
5/13/19,14:30,0,0,0,0,26.28,0,19.34,724.73,954.02,16.03,6.72,3.59,0.169074669,0.507390402
5/13/19,14:45,0,0,0,0,25.18,0,19.41,698.46,924.24,16.21,7.02,3.72,0.186189465,0.495166093
5/13/19,15:00,0,0,0,0,23.81,0,19.42,671.87,893.62,16.32,7.37,3.86,0.141739998,0.475444371
5/13/19,15:15,0,0,0,0,23.45,0,19.29,627.69,842.31,16.31,7.57,3.93,0.187700664,0.434929618
5/13/19,15:30,0,0,0,0,23.85,0,19.14,594.32,804.63,16.24,7.57,3.92,0.144169335,0.436530113
5/13/19,15:45,0,0,0,0,24.7,0,19.02,560.52,766.59,16.17,7.23,3.76,0.139149999,0.399254974
5/13/19,16:00,0,0,0,0,26.03,0,18.92,526.34,728.25,16.11,6.72,3.52,0.134748532,0.375245508
5/13/19,16:15,0,0,0,0,27.51,0,18.77,471.26,666.36,16.07,6.51,3.41,0.129881999,0.339469922
5/13/19,16:30,0,0,0,0,28.59,0,18.63,433.04,622.38,16.06,6.7,3.47,0.122833333,0.298485484
5/13/19,16:45,0,0,0,0,29.32,0,18.37,395.36,578.69,15.99,7.07,3.61,0.114343199,0.256937475
5/13/19,17:00,0,0,0,0,29.91,0,17.94,358.15,535.23,15.85,7.39,3.71,0.111601997,0.213869155
5/13/19,17:15,0,0,0,0,30.37,0,17.37,300.76,466.99,15.66,7.73,3.8,0.0764444,0.172347405
5/13/19,17:30,0,0,0,0,30.94,0,16.8,262.11,419.71,15.38,8.01,3.88,0.092785335,0.127260747
5/13/19,17:45,0,0,0,0,32.46,0,16.15,224.43,373.32,14.98,7.5,3.61,0.069767602,0.089762212
5/13/19,18:00,0,0,0,0,35.11,0,15.58,187.59,327.72,14.64,6.2,3,0.077322,0.052776846
5/13/19,18:15,0,0,0,0,37.81,0,15,132.21,257.77,14.46,5.37,2.64,0.072689466,0.027954641
5/13/19,18:30,0,0,0,0,39.82,0,14.59,99.48,210.41,14.39,5.79,2.74,0.092026268,0.018344512
5/13/19,18:45,0,0,0,0,42.7,0,14.09,69.81,164.5,14.13,7.5,3.39,0.067749199,0.016395807
5/13/19,19:00,0,0,0,0,46.05,0,13.38,42.81,119.86,13.63,7.57,3.3,0.066575867,0.008887193
5/13/19,19:15,0,0,0,0,48.14,0,12.48,11.03,52.96,13.14,7.11,2.89,0.069439333,0.001772486
5/13/19,19:30,0,0,0,0,49.75,0,11.9,11.03,52.96,12.74,7.27,2.77,0.097209999,0
5/13/19,19:45,0,0,0,0,51.69,0,11.1,0,0,12.21,7.18,2.59,0.066768667,0
5/13/19,20:00,0,0,0,0,53.24,0,10.5,0,0,11.72,7.43,2.54,0.065970665,0
5/13/19,20:15,0,0,0,0,53.8,0,10.21,0,0,11.51,7.86,2.73,0.063309334,0
5/13/19,20:30,0,0,0,0,54.18,0,10,0,0,11.38,7.84,2.74,0.069315865,0
5/13/19,20:45,0,0,0,0,55.39,0,9.64,0,0,11.07,7.59,2.61,0.078235334,0
5/13/19,21:00,0,0,0,0,57.47,0,9.1,0,0,10.53,7.7,2.45,0.068875334,0
5/13/19,21:15,0,0,0,0,59.61,0,8.56,0,0,9.99,8.31,2.56,0.071074933,0
5/13/19,21:30,0,0,0,0,61.17,0,8.25,0,0,9.65,8.66,2.79,0.068,0
5/13/19,21:45,0,0,0,0,62.54,0,7.97,0,0,9.38,8.54,2.79,0.0666508,0
